"","Region","year","RptArea","Log_rfharv","Gui_Nonpelharv","gui_pDSRinNonpel","gui_var_pDSRinNonpel","GuiDSR","var_GuiDSR","sqrt_GuiDSR","GuiDSR_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pDSR","priv_var_pDSR","Priv_DSR","var_PrivDSR","sqrt_PrivDSR","PrivDSR_UPRLWR95","blank2","TotalDSRharv","var_totalDSRharv","sqrt_totalDSR","TotalDSR_UPRLWR95"
"353","SE",2009,"SSEO",9645,3692,0.960431655,6.84733e-05,3545.91367026,933.3502399312,30.5507813309447,59.8795314086516,NA,4673.87789579076,2545998.42556601,0.314984709,0.000330428,1472.20006890719,260661.681227403,510.550370901249,1000.67872696645,NA,5018.11373916719,261595.031467334,511.463616953674,1002.4686892292
"354","SE",2010,"SSEO",12415,4993,0.974358974,3.56399e-05,4864.974357182,888.5044533551,29.8077918228624,58.4232719728102,NA,6016.19430546836,4218393.74711524,0.408684547,0.00030903,2458.72564439432,717057.853105686,846.792686025149,1659.71366460929,NA,7323.70000157632,717946.357559041,847.317152876679,1660.74161963829
"355","SE",2011,"SSEO",11926,3783,0.936605317,0.000121672,3543.177914211,1741.258820808,41.7283934606642,81.7876511829018,NA,5499.83264540338,3434887.63936153,0.356164384,0.00044963,1958.84450625318,450870.94508339,671.469243587068,1316.07971743065,NA,5502.02242046418,452612.203904198,672.764597689413,1318.61861147125
"356","SE",2012,"SSEO",14290,4684,0.948031496,7.77094e-05,4440.579527264,1704.9330458464,41.2908348891906,80.9300363828136,NA,7211.48404861375,3512142.9566568,0.290849673,0.000337571,2097.45777738402,315845.725578275,562.001535209892,1101.52300901139,NA,6538.03730464802,317550.658624121,563.516333946161,1104.49201453448
"357","SE",2013,"SSEO",15619,4475,0.944444444,7.29752e-05,4226.3888869,1461.3739895,38.227921595347,74.9267263268802,NA,7064.68019164546,3429125.89069863,0.290526316,0.000434854,2052.47550979693,312631.828016227,559.134892504686,1095.90438930918,NA,6278.86439669693,314093.202005727,560.440185930423,1098.46276442363
"358","SE",2014,"SSEO",18453,5130,0.957884427,3.95508e-05,4913.94711051,1040.85444852,32.2622759352157,63.2340608330228,NA,5969.05725915875,5648205.4842977,0.33171521,0.000359287,1980.02708222387,636330.775490788,797.703438309494,1563.49873908661,NA,6893.97419273387,637371.629939308,798.355578636054,1564.77693412667
"359","SE",2015,"SSEO",17669,4920,0.963912631,3.30657e-05,4742.45014452,800.40156048,28.2913690103537,55.4510832602932,NA,15546.5243355195,23591989.047448,0.314705882,0.000317623,4892.58265304413,2420806.75678382,1555.89419845432,3049.55262897047,NA,9635.03279756413,2421607.1583443,1556.15139313124,3050.05673053723
"360","SE",2016,"SSEO",17707,4149,0.947423764,5.24337e-05,3930.861196836,902.6042509737,30.0433728295227,58.8850107458644,NA,9530.76170282172,11849070.1453104,0.359116022,0.000637539,3422.64922934728,1593572.60771463,1262.36785752594,2474.24100075084,NA,7353.51042618328,1594475.2119656,1262.72531136649,2474.94161027832
"361","SE",2017,"SSEO",20760,4370,0.894927536,0.000113703,3910.83333232,2171.3748207,46.5980130552795,91.3321055883478,NA,7420.22133270544,9465736.89381753,0.27027027,0.000534483,2005.46522305006,725922.136406226,852.010643364404,1669.94086099423,NA,5916.29855537006,728093.511226926,853.283956972664,1672.43655566642
"362","SE",2018,"SSEO",26949,4535,0.863509749,0.00016438,3916.016711715,3380.6760655,58.1435814643371,113.961419670101,NA,12867.6358994501,12734528.8226822,0.241758242,0.000288225,3110.85703374715,795689.179574171,892.01411399942,1748.34766343886,NA,7026.87374546215,799069.855639671,893.907073268621,1752.0578636065
"363","SE",2019,"SSEO",22912,3570,0.948553054662379,7.85831838213341e-05,3386.33440514469,1001.53481948452,NA,NA,NA,16359.9859993,28189042.1157384,0.365461847389558,0.00046659856235849,5978.95070657147,3903032.71595421,1975.60945430877,3872.1945304452,NA,9365.28511171617,3904034.25077369,1975.86291295062,3872.69130938321
"364","SE",2020,"SSEO",12619,170,0.00735294117647059,2.28446805399873e-06,1.25,0.0660211267605633,0.256945766185324,0.503613701723235,NA,2769.62253557906,1279455.89249293,0,0,0,0,0,0,NA,1.25,0.0660211267605633,0.256945766185324,0.503613701723235
"365","SE",2021,"SSEO",29399,361,0.0144927536231884,4.11961745474646e-06,5.23188405797101,0.536872666320013,NA,NA,NA,1670.08700007155,492653.231678409,0.00584795321637427,3.41985568209022e-05,9.76659064369326,129.082351874587,11.361441452324,22.2684252465551,NA,14.9984747016643,129.619224540907,11.3850438971884,22.3146860384893
"366","SE",2022,"SSEO",38456,918,0,0,0,0,0,0,NA,6059.51210251541,7021661.44093189,0.0197044334975369,9.56245980102876e-05,119.399253251535,6908.82087336204,83.1193170891222,162.913861494679,NA,119.399253251535,6908.82087336204,83.1193170891222,162.913861494679
