"","Region","year","RptArea","Log_rfharv","Gui_pelharv","gui_pPel","gui_var_pPel","GuiPel","var_GuiPel","sqrt_GuiPel","GuiPel_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pPel","priv_var_pPel","Priv_Pel","var_PrivPel","sqrt_PrivPel","PrivPel_UPRLWR95","blank2","TotalPelharv","var_totalPelharv","sqrt_totalPel","TotalPel_UPRLWR95"
"388","SE",2003,"SSEO",6896,2806,0.713892052242862,0.00730722178108114,2806,57534.4044755046,239.863303728404,470.132075307672,NA,3341.73789210711,1301511.9872539,0.636779921987621,0.00401038659075112,2127.95159423904,577752.767501617,760.100498290599,1489.79697664957,NA,4933.95159423904,635287.171977122,797.049039882191,1562.21611816909
"389","SE",2004,"SSEO",10061,4143,0.713892052242862,0.00730722178108114,4143,125424.435593056,354.153124499921,694.140124019845,NA,4875.46765262321,2770358.44857322,0.636779921987621,0.00401038659075112,3104.59991149058,1229786.79897661,1108.95752803099,2173.55675494074,NA,7247.59991149058,1355211.23456966,1164.1354021632,2281.70538823986
"390","SE",2005,"SSEO",12666,5423,0.713892052242862,0.00730722178108114,5423,214897.566547069,463.5704547823,908.598091373309,NA,6137.82658663409,4390688.57336862,0.636779921987621,0.00401038659075112,3908.4447350104,1949065.77837502,1396.08945930231,2736.33534023253,NA,9331.4447350104,2163963.34492209,1471.04158504173,2883.24150668179
"391","SE",2006,"SSEO",12007,4774,NA,NA,4774,0,0,0,NA,5818.48127472884,3945687.5188521,0.463235294117647,0.00184183967704729,2695.32588461704,916315.300234164,957.243595034286,1876.1974462672,NA,7469.32588461704,916315.300234164,957.243595034286,1876.1974462672
"392","SE",2007,"SSEO",12018,5924,NA,NA,5924,0,0,0,NA,5823.81177310662,3952920.37367866,0.641509433962264,0.000621554270539675,3736.0301940684,1650300.60806147,1284.64026406674,2517.89491757082,NA,9660.0301940684,1650300.60806147,1284.64026406674,2517.89491757082
"393","SE",2008,"SSEO",17754,10801,NA,NA,10801,0,0,0,NA,8603.42438173864,8626727.85886849,0.671052631578947,0.000415708092711708,5773.35057195619,3919072.38215071,1979.66471457939,3880.14284057561,NA,16574.3505719562,3919072.38215071,1979.66471457939,3880.14284057561
"394","SE",2009,"SSEO",9645,5953,NA,NA,5953,0,0,0,NA,4673.87789579076,2545998.42556601,0.668195718654434,0.000339525574619171,3123.06519948098,1145032.84040695,1070.06207315602,2097.32166338579,NA,9076.06519948098,1145032.84040695,1070.06207315602,2097.32166338579
"395","SE",2010,"SSEO",12415,7422,NA,NA,7422,0,0,0,NA,6016.19430546836,4218393.74711524,0.563218390804598,0.00031458239778015,3388.43127549367,1350850.80034939,1162.26107237118,2278.0317018475,NA,10810.4312754937,1350850.80034939,1162.26107237118,2278.0317018475
"396","SE",2011,"SSEO",11926,8143,NA,NA,8143,0,0,0,NA,5499.83264540338,3434887.63936153,0.614481409001957,0.000464498052927307,3379.54491322243,1312616.00957929,1145.6945533515,2245.56132456894,NA,11522.5449132224,1312616.00957929,1145.6945533515,2245.56132456894
"397","SE",2012,"SSEO",14290,9606,NA,NA,9606,0,0,0,NA,7211.48404861375,3512142.9566568,0.676470588235294,0.000358196614546464,4878.35685641518,1627086.59938058,1275.57304744988,2500.12317300177,NA,14484.3568564152,1627086.59938058,1275.57304744988,2500.12317300177
"398","SE",2013,"SSEO",15619,11144,NA,NA,11144,0,0,0,NA,7064.68019164546,3429125.89069863,0.694736842105263,0.000447421017567236,4908.09360682737,1678964.34720848,1295.74856635401,2539.66719005387,NA,16052.0936068274,1678964.34720848,1295.74856635401,2539.66719005387
"399","SE",2014,"SSEO",18453,13323,NA,NA,13323,0,0,0,NA,5969.05725915875,5648205.4842977,0.640776699029126,0.000373066322545321,3824.83280683959,2334523.05274878,1527.91460911557,2994.71263386651,NA,17147.8328068396,2334523.05274878,1527.91460911557,2994.71263386651
