"","Region","year","RptArea","Log_rfrel","Gui_pelrel","gui_pBRFinPel","gui_var_pBRFinPel","GuiBRF","var_GuiBRF","sqrt_GuiBRF","GuiBRF_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pBRF","priv_var_pBRF","PRIV_BRF","var_PrivBRF","sqrt_PrivBRF","PrivBRF_UPRLWR95","blank2","TotalBRFrel","var_totalBRFrel","sqrt_totalBRF","TotalBRF_UPRLWR95"
"157","SC",2002,"PWSO",1719,1543,0.925776443,0.000352382,1428.473051549,838.968332318,28.9649500658641,56.7713021290936,NA,902.677637673557,663011.554676266,0.70942926,0.010326715,640.385928513299,348948.21915832,590.718392432739,1157.80804916817,NA,2068.8589800623,349787.187490638,591.428091563664,1159.19905946478
"158","SC",2003,"PWSO",1548,1372,0.960452002,0.000122135,1317.740146744,229.90496984,15.1626175128175,29.7187303251223,NA,812.882479999224,537664.368672532,0.890127818,0.001630005,723.569308212138,427959.749410582,654.186326217983,1282.20519938725,NA,2041.30945495614,428189.654380422,654.362020887843,1282.54956094017
"159","SC",2004,"PWSO",1830,1662,0.923335406,0.000188766,1534.583444772,521.417750904,22.834573587085,44.7557642306866,NA,960.965722479702,751400.575322431,0.70360322,0.003861958,676.138576646345,378454.706051678,615.186724541157,1205.76598010067,NA,2210.72202141834,378976.123802582,615.610366873871,1206.59631907279
"160","SC",2005,"PWSO",1432,1329,0.931865587,0.000271334,1238.449365123,479.241235494,21.8915791000558,42.9074950361094,NA,751.968805787396,460103.333443813,0.864231013,0.002023031,649.874762770041,345723.731938612,587.982765001332,1152.44621940261,NA,1888.32412789304,346202.973174106,588.390153872501,1153.2447015901
"161","SC",2006,"PWSO",1336,1123,0.96043808,0.000120243,1078.57196384,151.641934347,12.3142979640335,24.1360240095057,NA,701.557489198296,400481.31663851,0.70942926,0.010326715,497.705410409405,210776.480834369,459.10399784185,899.843835770025,NA,1576.27737424941,210928.122768716,459.269118022011,900.167471323142
"162","SC",2007,"PWSO",925,678,0.977320303,5.06058e-05,662.623165434,23.2626765672,4.82313970015383,9.45335381230151,NA,485.734040051216,191978.595138778,0.70942926,0.010326715,344.593940590344,101039.851293245,317.86766317643,623.020619825803,NA,1007.21710602434,101063.113969812,317.904252833792,623.092335554233
"163","SC",2008,"PWSO",962,737,0.926579029,0.0001895,682.888744373,102.9305255,10.145468224779,19.8851177205668,NA,505.163401653264,207644.048502103,0.70942926,0.010326715,358.377698213958,109284.703158773,330.582369703488,647.941444618836,NA,1041.26644258696,109387.633684273,330.73801366682,648.246506786966
"164","SC",2009,"PWSO",1119,887,0.820062844,0.000188695,727.395742628,148.459376455,12.184390688705,23.8814057498617,NA,587.606908991687,280950.310787515,0.655258828,0.002281765,385.034614510596,122058.900927901,349.369290190052,684.763808772502,NA,1112.4303571386,122207.360304356,349.581693319825,685.180118906856
"165","SC",2010,"PWSO",810,490,0.895743301,0.000200833,438.91421749,48.2200033,6.94406244931596,13.6103624006593,NA,425.345483720524,147210.701265803,0.710799274,0.00201533,302.335261027727,75037.3773347297,273.929511617003,536.901842769326,NA,741.249478517727,75085.5973380297,274.017512830895,537.074325148554
"166","SC",2011,"PWSO",594,409,0.925108079,0.000125741,378.369204311,21.034080221,4.58629264450057,8.98913358322111,NA,725.362878455463,641484.026367597,0.820387388,0.001067768,595.078557208239,432988.264510681,658.018437819702,1289.71613812662,NA,973.447761519239,433009.298590902,658.034420521375,1289.74746422189
"167","SC",2012,"PWSO",621,502,0.835210206,0.000244466,419.275523412,61.606409864,7.84897508366538,15.3839911639841,NA,210.936393442623,52355.2625630312,0.720131298,0.000719794,151.901898805275,27220.579413417,164.986603739264,323.373743328958,NA,571.177422217275,27282.185823281,165.173199470377,323.739470961939
"168","SC",2013,"PWSO",604,420,0.709825872,0.000346173,298.12686624,61.0649172,7.81440446867194,15.316232758597,NA,774.186226964112,1012819.94475999,0.59766794,0.00073761,462.706287446014,362975.503313426,602.474483537208,1180.84998773293,NA,760.833153686013,363036.568230626,602.52515983204,1180.9493132708
"169","SC",2014,"PWSO",794,488,0.757547141,0.000188379,369.683004808,44.861328576,6.69785999973126,13.1278055994733,NA,498.33045622688,389455.655174838,0.745166042,0.000711212,371.338933674639,216707.591202849,465.518626053619,912.416507065093,NA,741.021938482639,216752.452531425,465.566807806812,912.510943301352
"170","SC",2015,"PWSO",736,550,0.698411514,0.000233777,384.1263327,70.7175425,8.40937230118872,16.4823697103299,NA,196.130464954892,74505.0834467905,0.730941643,0.00098333,143.359924296483,39917.3435250921,199.793251950841,391.594773823648,NA,527.486256996483,39988.0610675921,199.97015044149,391.94149486532
"171","SC",2016,"PWSO",1017,745,0.856811161,0.000148171,638.324314945,82.238609275,9.06855056086694,17.7743590992992,NA,262.797435897436,105363.492228585,0.520537168,0.001124226,136.795833039713,28745.274740336,169.544314974982,332.306857350965,NA,775.120147984713,28827.513349611,169.786670117565,332.781873430428
"172","SC",2017,"PWSO",669,398,0.868998051,0.000178713,345.861224298,28.308854052,5.32060654925733,10.4283888365444,NA,403.408673894912,436676.901026332,0.68874964,0.001542256,277.847578917998,208073.522772449,456.150767589455,894.055504475332,NA,623.708803215998,208101.831626501,456.181796684722,894.116321502056
"173","SC",2018,"PWSO",1046,546,0.872609551,0.000174235,476.444814846,51.94224126,7.20709659016722,14.1259093167278,NA,281.24095139607,349345.971691032,0.633299156,0.002073494,178.109657151768,140999.800475743,375.499401431937,735.978826806597,NA,654.554471997768,141051.742717003,375.56855927647,736.11437618188
"174","SC",2019,"PWSO",1837,689,0.790085937,0.000175132,544.369210593,83.138838172,9.11805012993458,17.8713782546718,NA,729.573826458037,635636.56754389,0.570684816,0.001000015,416.356704910621,208182.786210352,456.270518673245,894.290216599559,NA,960.725915503621,208265.925048524,456.361616537285,894.468768413078
"175","SC",2020,"PWSO",854,452,0.901497580265125,8.59629167872693e-05,407.476906279837,17.5625677513063,4.19077173696042,8.21391260444243,NA,412.656330749354,185736.582909414,0.545157060064095,0.00141691908529353,224.962512088155,55704.6645079911,236.018356294571,462.595978337359,NA,632.439418367991,55722.2270757424,236.055559298531,462.668896225121
"176","SC",2021,"PWSO",734,360,0.844945738896451,0.00016883046033142,304.180466002722,21.880427658952,4.67765193862818,9.16819779971124,NA,373.930907415937,97169.5458502767,0.645929025849132,0.00282351505450276,241.532826762059,41210.6521319226,203.004069249665,397.887975729342,NA,545.713292764781,41232.5325595815,203.057953696923,397.993589245968
"177","SC",2022,"PWSO",683,353,0.882105022841537,0.000171045643946165,311.383073063063,21.3138266464877,4.61669000978923,9.04871241918689,NA,548.237668161435,740227.644657124,0.681793432030083,0.00193706382206003,373.784841343954,346105.189880989,588.307054080596,1153.08182599797,NA,685.167914407017,346126.503707636,588.325168344544,1153.11732995531
"178","SC",2023,"PWSO",1455,579,0.935881279319278,0.000126598123078037,541.875260725862,42.4408813788042,6.51466663604549,12.7687466066492,NA,2546.74624829468,27791463.5400182,0.719222162460076,0.00150702719019648,1831.67634393559,14427639.6266791,3798.37328690574,7444.81164233524,NA,2373.55160466145,14427682.0675605,3798.3788736197,7444.82259229461
"179","SC",1999,"SKMA",128,128,0.942307692,0.002727231,120.615384576,44.682952704,6.68453085145098,13.1016804688439,NA,48.2854561531142,4812.3518198527,0.713004484,0.000921753,34.4277467491558,2453.066106741,49.5284373541201,97.0757372140754,NA,155.043131325156,2497.749059445,49.9774855254343,97.9558716298513
"180","SC",2000,"SKMA",101,76,0.942307692,0.002727231,71.615384592,15.752486256,3.96894019304902,7.77912277837608,NA,38.1002427458166,2996.264704243,0.743589744,0.000982804,28.3309497496997,1661.08318832728,40.7563883130887,79.8825210936539,NA,99.9463343416997,1676.83567458328,40.9491840527168,80.260400743325
"181","SC",2001,"SKMA",43,19,0.942307692,0.002727231,17.903846148,0.984530391,0.992235048262255,1.94478069459402,NA,16.2208954264368,543.093171075905,0.820224719,0.001675638,13.3047793930775,366.726943908026,19.1501160285787,37.5342274160142,NA,31.2086255410775,367.711474299026,19.1758043977046,37.584576619501
"182","SC",2002,"SKMA",62,62,0.942307692,0.002727231,58.423076904,10.483475964,3.23781963117157,6.34612647709628,NA,23.3882678241647,1129.06984835899,0.608433735,0.001443892,14.2302111474368,420.392264669806,20.5034695763865,40.1868003697175,NA,72.6532880514368,430.875740633806,20.7575465947642,40.6847913257378
"183","SC",2003,"SKMA",137,137,0.942307692,0.002727231,129.096153804,51.187398639,7.15453692694363,14.0228923768095,NA,51.68052728888,5512.88032878511,0.732620321,0.00105316,37.8622044918285,2967.5610383629,54.4753250413699,106.771637081085,NA,166.958358295828,3018.7484370019,54.9431382158127,107.688550902993
"184","SC",2004,"SKMA",26,25,0.942307692,0.002727231,23.5576923,1.704519375,1.30557243192402,2.55892196657108,NA,9.80798328110131,198.556508192164,0.779661017,0.001468288,7.64690221966244,121.129585399876,11.0058886692478,21.5715417917256,NA,31.2045945196624,122.834104774876,11.0830548485008,21.7227875030615
"185","SC",2005,"SKMA",112,108,0.942307692,0.002727231,101.769230736,31.810422384,5.64007290591177,11.0545428955871,NA,42.2497741339749,3684.45686207472,0.82183908,0.000846356,34.7225155044737,2493.18305797967,49.9317840456324,97.8662967294395,NA,136.491746240474,2524.99348036367,50.2493132327564,98.4886539362026
"186","SC",2006,"SKMA",80,77,0.942307692,0.002727231,72.557692284,16.169752599,4.02116309032598,7.88147965703892,NA,30.1784100956963,1879.82492962996,0.798076923,0.001564565,24.0846926702055,1201.67684468395,34.6652108703229,67.9438133058329,NA,96.6423849542055,1217.84659728295,34.8976589083416,68.3994114603495
