"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Charter",1992,"Whittier","NG",0,0,0,0
"Charter",1992,"Whittier","CI",0,0,0,0
"Charter",1992,"Whittier","PWSO",0,0,0,0
"Charter",1992,"Whittier","PWSI",0,0,0,0
"Charter",1992,"Whittier","EASTSIDE",0,0,0,0
"Charter",1992,"Whittier","WESTSIDE",0,0,0,0
"Charter",1992,"Cordova","NORTHEAST",0,0,0,0
"Charter",1992,"Cordova","AFOGNAK",0,0,0,0
"Charter",1992,"Cordova","NG",0,0,0,0
"Charter",1992,"Cordova","CI",0,0,0,0
"Charter",1992,"Cordova","PWSO",0,0,0,0
"Charter",1992,"Cordova","PWSI",0,0,0,0
"Charter",1992,"Cordova","EASTSIDE",0,0,0,0
"Charter",1992,"Cordova","WESTSIDE",0,0,0,0
"Charter",1992,"CCI","NORTHEAST",0,0,0,0
"Charter",1992,"CCI","AFOGNAK",0,0,0,0
"Charter",1992,"CCI","NG",0,0,0,0
"Charter",1992,"CCI","CI",0,0,0,0
"Charter",1992,"CCI","PWSO",0,0,0,0
"Charter",1992,"CCI","PWSI",0,0,0,0
"Charter",1992,"CCI","EASTSIDE",0,0,0,0
"Charter",1992,"CCI","WESTSIDE",0,0,0,0
"Charter",1993,"Kodiak","NG",0,0,0,0
"Charter",1993,"Kodiak","CI",0,0,0,0
"Charter",1993,"Kodiak","PWSO",0,0,0,0
"Charter",1993,"Kodiak","PWSI",0,0,0,0
"Charter",1993,"Kodiak","EASTSIDE",0,0,0,0
"Charter",1993,"Kodiak","WESTSIDE",0,0,0,0
"Charter",1993,"Homer","NORTHEAST",0,0,0,0
"Charter",1993,"Homer","AFOGNAK",0,0,0,0
"Charter",1993,"Homer","PWSO",0,0,0,0
"Charter",1993,"Homer","PWSI",0,0,0,0
"Charter",1993,"Homer","EASTSIDE",0,0,0,0
"Charter",1993,"Homer","WESTSIDE",0,0,0,0
"Charter",1993,"Seward","NORTHEAST",0,0,0,0
"Charter",1993,"Seward","AFOGNAK",0,0,0,0
"Charter",1993,"Seward","CI",0,0,0,0
"Charter",1993,"Seward","EASTSIDE",0,0,0,0
"Charter",1993,"Seward","WESTSIDE",0,0,0,0
"Charter",1993,"Valdez","NORTHEAST",0,0,0,0
"Charter",1993,"Valdez","AFOGNAK",0,0,0,0
"Charter",1993,"Valdez","NG",0,0,0,0
"Charter",1993,"Valdez","CI",0,0,0,0
"Charter",1993,"Valdez","EASTSIDE",0,0,0,0
"Charter",1993,"Valdez","WESTSIDE",0,0,0,0
"Charter",1993,"Whittier","NORTHEAST",0,0,0,0
"Charter",1993,"Whittier","AFOGNAK",0,0,0,0
"Charter",1993,"Whittier","NG",0,0,0,0
"Charter",1993,"Whittier","CI",0,0,0,0
"Charter",1993,"Whittier","PWSO",0,0,0,0
"Charter",1993,"Whittier","PWSI",0,0,0,0
"Charter",1993,"Whittier","EASTSIDE",0,0,0,0
"Charter",1993,"Whittier","WESTSIDE",0,0,0,0
"Charter",1993,"Cordova","NORTHEAST",0,0,0,0
"Charter",1993,"Cordova","AFOGNAK",0,0,0,0
"Charter",1993,"Cordova","NG",0,0,0,0
"Charter",1993,"Cordova","CI",0,0,0,0
"Charter",1993,"Cordova","PWSO",0,0,0,0
"Charter",1993,"Cordova","PWSI",0,0,0,0
"Charter",1993,"Cordova","EASTSIDE",0,0,0,0
"Charter",1993,"Cordova","WESTSIDE",0,0,0,0
"Charter",1993,"CCI","NORTHEAST",0,0,0,0
"Charter",1993,"CCI","AFOGNAK",0,0,0,0
"Charter",1993,"CCI","NG",0,0,0,0
"Charter",1993,"CCI","CI",0,0,0,0
"Charter",1993,"CCI","PWSO",0,0,0,0
"Charter",1993,"CCI","PWSI",0,0,0,0
"Charter",1993,"CCI","EASTSIDE",0,0,0,0
"Charter",1993,"CCI","WESTSIDE",0,0,0,0
"Charter",1994,"Kodiak","AFOGNAK",0,0,0,0
"Charter",1994,"Kodiak","NG",0,0,0,0
"Charter",1994,"Kodiak","CI",0,0,0,0
"Charter",1994,"Kodiak","PWSO",0,0,0,0
"Charter",1994,"Kodiak","PWSI",0,0,0,0
"Charter",1994,"Kodiak","EASTSIDE",0,0,0,0
"Charter",1994,"Kodiak","WESTSIDE",0,0,0,0
"Charter",1994,"Homer","NORTHEAST",0,0,0,0
"Charter",1994,"Homer","AFOGNAK",0,0,0,0
"Charter",1994,"Homer","PWSO",0,0,0,0
"Charter",1994,"Homer","PWSI",0,0,0,0
"Charter",1994,"Homer","EASTSIDE",0,0,0,0
"Charter",1994,"Homer","WESTSIDE",0,0,0,0
"Charter",1994,"Seward","NORTHEAST",0,0,0,0
"Charter",1994,"Seward","AFOGNAK",0,0,0,0
"Charter",1994,"Seward","CI",0,0,0,0
"Charter",1994,"Seward","EASTSIDE",0,0,0,0
"Charter",1994,"Seward","WESTSIDE",0,0,0,0
"Charter",1994,"Valdez","NORTHEAST",0,0,0,0
"Charter",1994,"Valdez","AFOGNAK",0,0,0,0
"Charter",1994,"Valdez","NG",0,0,0,0
"Charter",1994,"Valdez","CI",0,0,0,0
"Charter",1994,"Valdez","EASTSIDE",0,0,0,0
"Charter",1994,"Valdez","WESTSIDE",0,0,0,0
"Charter",1994,"Whittier","NORTHEAST",0,0,0,0
"Charter",1994,"Whittier","AFOGNAK",0,0,0,0
"Charter",1994,"Whittier","NG",0,0,0,0
"Charter",1994,"Whittier","CI",0,0,0,0
"Charter",1994,"Whittier","PWSO",0,0,0,0
"Charter",1994,"Whittier","PWSI",0,0,0,0
"Charter",1994,"Whittier","EASTSIDE",0,0,0,0
"Charter",1994,"Whittier","WESTSIDE",0,0,0,0
"Charter",1994,"Cordova","NORTHEAST",0,0,0,0
"Charter",1994,"Cordova","AFOGNAK",0,0,0,0
"Charter",1994,"Cordova","NG",0,0,0,0
"Charter",1994,"Cordova","CI",0,0,0,0
"Charter",1994,"Cordova","PWSO",0,0,0,0
"Charter",1994,"Cordova","PWSI",0,0,0,0
"Charter",1994,"Cordova","EASTSIDE",0,0,0,0
"Charter",1994,"Cordova","WESTSIDE",0,0,0,0
"Charter",1994,"CCI","NORTHEAST",0,0,0,0
"Charter",1994,"CCI","AFOGNAK",0,0,0,0
"Charter",1994,"CCI","NG",0,0,0,0
"Charter",1994,"CCI","CI",0,0,0,0
"Charter",1994,"CCI","PWSO",0,0,0,0
"Charter",1994,"CCI","PWSI",0,0,0,0
"Charter",1994,"CCI","EASTSIDE",0,0,0,0
"Charter",1994,"CCI","WESTSIDE",0,0,0,0
"Charter",1995,"Kodiak","AFOGNAK",0,0,0,0
"Charter",1995,"Kodiak","NG",0,0,0,0
"Charter",1995,"Kodiak","CI",0,0,0,0
"Charter",1995,"Kodiak","PWSO",0,0,0,0
