"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt","bootstrap_sd"
145,"Charter",2020,"NG",46,8,3.84782608695652,1.59690521953973,0.233633336117891
145,"Charter",2020,"PWSI",45,4,3.70444444444444,1.50059920691635,0.218492381034105
145,"Charter",2020,"PWSO",49,10,4.15510204081633,1.64063773480642,0.238171448514581
145,"Charter",2021,"NG",47,18,3.25159649870921,1.98654051256189,0.284502545249299
145,"Charter",2021,"PWSI",35,9,2.28285802330236,1.52911518050558,0.256052925817218
145,"Charter",2021,"PWSO",84,13,3.52028124124144,1.57258798879565,0.177637261415005
145,"Charter",2022,"NG",49,19,3.65045394044673,1.97377213339141,0.286464143116023
145,"Charter",2022,"PWSI",45,10,2.66339308679159,1.2934591219201,0.186695194468601
145,"Charter",2022,"PWSO",134,19,3.99248873227846,1.64005378985607,0.138430284148191
145,"Charter",2023,"NG",48,14,3.81283656887643,2.2158526052682,0.32822484448725
145,"Charter",2023,"PWSI",24,7,2.93638319137245,1.49834748246417,0.292901544292406
145,"Charter",2023,"PWSO",63,9,4.47681040305757,1.72816802199542,0.213270597742753
145,"Charter",2024,"NG",48,18,4.0983446420061,1.63239895450621,0.238383647047566
145,"Charter",2024,"PWSI",23,9,2.60280136579672,1.48442699712739,0.303375961036493
145,"Charter",2024,"PWSO",42,7,4.40394250446416,1.43779394238608,0.224587051809783
145,"Charter",2025,"NG",133,25,4.16331208100239,1.75646826636278,0.144795016736336
145,"Charter",2025,"NORTHEAST",21,5,2.21904761904762,1.6283792702006,0.348797154240513
145,"Charter",2025,"PWSI",31,7,2.626976495965,1.55089437290024,0.281197213623915
145,"Charter",2025,"PWSO",38,6,4.24151737232594,0.992250201850275,0.159838849597399
142,"Private",2007,"CI",8,5,2.40740236412377,0.723038270991458,0.241932850111633
142,"Private",2007,"NG",175,18,2.30285601763309,0.82080862129641,0.0614767763095063
142,"Private",2007,"NORTHEAST",76,15,2.05525481610344,0.675305470113271,0.07517504062507
142,"Private",2007,"PWSI",77,11,2.40270599792604,0.554674991862751,0.0595546089590319
142,"Private",2008,"NG",151,15,2.08836675778284,0.592414946263503,0.045599979801736
142,"Private",2008,"NORTHEAST",52,15,2.35161629470796,0.413656097059092,0.0556367773891336
142,"Private",2008,"PWSI",86,20,2.16907690391037,0.816775785468322,0.0845798013891327
142,"Private",2008,"PWSO",22,4,2.33881175674315,0.610013412157861,0.12974374047478
142,"Private",2009,"CI",14,5,1.84940219346794,0.541651842216206,0.137562700420704
142,"Private",2009,"NG",391,63,2.0504068085705,0.604629210423527,0.0291905103872972
142,"Private",2009,"NORTHEAST",38,18,2.23735618264616,0.447386074977511,0.0704891163330645
142,"Private",2009,"PWSI",81,16,2.21506006459548,0.472422415525384,0.0518991227003223
142,"Private",2009,"PWSO",58,17,2.36846815802092,0.658156573228336,0.0878920750816447
142,"Private",2010,"CI",37,12,2.23521425969775,0.518895361435277,0.0850299661515268
142,"Private",2010,"NG",362,58,2.1974995710086,0.621774991784436,0.0330024767480882
142,"Private",2010,"NORTHEAST",31,12,2.30656119159,0.394312621886934,0.0711120244280817
142,"Private",2010,"PWSI",126,19,2.68234145279992,0.561421547049456,0.0509667519830207
142,"Private",2010,"PWSO",77,9,2.38883429124024,0.76009531083697,0.0872103606648403
142,"Private",2011,"CI",52,8,2.4159185244219,0.478974351008329,0.066376151932197
142,"Private",2011,"NG",232,42,2.11542762106781,0.578613242795077,0.0376364842684526
142,"Private",2011,"NORTHEAST",51,15,2.06810238650068,0.40065361311305,0.0567656652403354
142,"Private",2011,"PWSI",118,26,2.27606438507565,0.642489698362738,0.0603746951382768
142,"Private",2011,"PWSO",110,13,2.4560839731764,0.574688667906244,0.0534333227715337
142,"Private",2012,"CI",32,9,2.49822810330596,0.406527814699797,0.0695306333515905
142,"Private",2012,"NG",380,46,2.03226706176357,0.558839608303709,0.028444206440741
142,"Private",2012,"NORTHEAST",112,23,2.21901351191595,0.411268100293228,0.0403157649349264
142,"Private",2012,"PWSI",47,12,2.37806626326109,0.860474241315092,0.127500424900258
142,"Private",2012,"PWSO",199,21,2.40160092442558,0.568057860064566,0.0400387950530586
142,"Private",2013,"CI",32,12,1.75287079922744,0.644272953997404,0.11052943158986
142,"Private",2013,"NG",490,62,2.06938812477355,0.694586124530228,0.0314729978490168
142,"Private",2013,"NORTHEAST",107,23,1.73860477782378,0.726842195650255,0.0670815086333126
142,"Private",2013,"PWSI",131,26,2.40528382289486,0.638974302129038,0.0565509771516466
142,"Private",2013,"PWSO",209,22,2.42804438088189,0.637118934455136,0.0438277957243657
142,"Private",2014,"CI",35,13,2.09723371003153,0.637403498621165,0.105220591905276
142,"Private",2014,"NG",351,46,2.08229459583866,0.685879963729516,0.0350313619499621
142,"Private",2014,"NORTHEAST",96,18,2.23811910901069,0.434139396134157,0.0460214710401041
