YEAR,CFMU,Assemblage,USER,RelCat,avg_WtKg,SE_WtKg,var_WtKg,P_Rel,PcatSurface,PcatDRM,Mort_rate
1999,NG,Black,Charter,4,1.915503876,0.054033635,0.376632752,0.023070804,1,0,0.082179793
1999,NG,Black,Charter,2,1.915503876,0.054033635,0.376632752,0.37788385,1,0,0.082179793
1999,NG,Black,Charter,1,1.915503876,0.054033635,0.376632752,0.546539379,1,0,0.082179793
2020,NG,Black,Charter,3,1.920915033,0.048308627,0.357059684,0.052505967,0.333333333,0.666666667,0.067250202
2020,NG,Black,Charter,4,1.920915033,0.048308627,0.357059684,0.023070804,0.103448276,0.896551724,0.066823255
2020,NG,Black,Charter,2,1.920915033,0.048308627,0.357059684,0.37788385,0.911578947,0.088421053,0.043465388
2020,NG,Black,Charter,1,1.920915033,0.048308627,0.357059684,0.546539379,0.959243086,0.040756914,0
2006,NG,Black,Charter,3,2.279249448,0.024378114,0.26921448,0.052505967,1,0,0.082179793
2006,NG,Black,Charter,4,2.279249448,0.024378114,0.26921448,0.023070804,1,0,0.082179793
2006,NG,Black,Charter,2,2.279249448,0.024378114,0.26921448,0.37788385,1,0,0.082179793
2006,NG,Black,Charter,1,2.279249448,0.024378114,0.26921448,0.546539379,1,0,0.082179793
2013,NG,Black,Charter,3,1.966666667,0.067146098,0.392248062,0.052505967,0.333333333,0.666666667,0.067250202
2013,NG,Black,Charter,4,1.966666667,0.067146098,0.392248062,0.023070804,0.103448276,0.896551724,0.066823255
2013,NG,Black,Charter,2,1.966666667,0.067146098,0.392248062,0.37788385,0.911578947,0.088421053,0.043465388
2013,NG,Black,Charter,1,1.966666667,0.067146098,0.392248062,0.546539379,0.959243086,0.040756914,0
2018,NG,Black,Charter,3,1.800628931,0.067295597,0.720062893,0.052505967,0.333333333,0.666666667,0.067250202
2018,NG,Black,Charter,4,1.800628931,0.067295597,0.720062893,0.023070804,0.103448276,0.896551724,0.066823255
2018,NG,Black,Charter,2,1.800628931,0.067295597,0.720062893,0.37788385,0.911578947,0.088421053,0.043465388
2018,NG,Black,Charter,1,1.800628931,0.067295597,0.720062893,0.546539379,0.959243086,0.040756914,0
2004,NG,Black,Charter,3,2.091412214,0.026530162,0.368817122,0.052505967,1,0,0.082179793
2004,NG,Black,Charter,4,2.091412214,0.026530162,0.368817122,0.023070804,1,0,0.082179793
2004,NG,Black,Charter,2,2.091412214,0.026530162,0.368817122,0.37788385,1,0,0.082179793
2004,NG,Black,Charter,1,2.091412214,0.026530162,0.368817122,0.546539379,1,0,0.082179793
2001,NG,Black,Charter,3,2.239130435,0.154092925,0.546126482,0.052505967,1,0,0.082179793
2001,NG,Black,Charter,4,2.239130435,0.154092925,0.546126482,0.023070804,1,0,0.082179793
2001,NG,Black,Charter,2,2.239130435,0.154092925,0.546126482,0.37788385,1,0,0.082179793
