"","port_site","RptArea","Freq"
"420","APPLE ISLAND","CI",0
"421","AUKE BAY","CI",0
"422","BARANOF WILDERNESS LODGE","CI",0
"423","BARTLETT COVE","CI",0
"424","BAY OF PILLARS","CI",0
"425","BLANK","CI",0
"426","BROTHERS ISLANDS","CI",0
"427","CANNERY COVE","CI",0
"428","CEDARS LODGE","CI",0
"429","CHAPIN BAY","CI",0
"430","CHIGNIK BAY","CI",0
"431","CHUM CHANNEL","CI",0
"432","CHUM COVE","CI",0
"433","CITY FLOAT","CI",0
"434","CLOVER PASS","CI",0
"435","COFFMAN COVE","CI",0
"436","CORDOVA","CI",0
"437","CRAIG","CI",0
"438","CUBE COVE","CI",0
"439","DEEP COVE","CI",0
"440","DEEP CREEK","CI",1629
"441","DOVE ISLAND LODGE","CI",0
"442","DUTCH HARBOR","CI",0
"443","EGG HARBOR","CI",0
"444","EL CAPITAN LODGE","CI",0
"445","ELFIN COVE","CI",0
"446","ELIZA HARBOR","CI",0
"447","ELL COVE","CI",0
"448","EXCURSION INLET","CI",0
"449","EXPLORER BASIN","CI",0
"450","FARRAGUT BAY","CI",0
"451","FISHERMANS BEND","CI",0
"452","FREDRICK SOUND","CI",0
"453","GEDNEY HARBOR","CI",0
"454","GEDNEYHARBOR","CI",0
"455","GULL COVE","CI",0
"456","GUSTAVUS","CI",0
"457","GUT BAY","CI",0
"458","HAINES","CI",0
"459","HALIBUT COVE","CI",9
"460","HAPPY VALLEY","CI",158
"461","HOLKAM BAY","CI",0
"462","HOMER","CI",4537
"463","HOONAH","CI",0
"464","IRON CREEK","CI",0
"465","JUNEAU","CI",0
"466","KAKE","CI",0
"467","KELP BAY","CI",0
"468","KETCHIKAN","CI",0
"469","KHAZ BAY","CI",0
"470","KILIUDA BAY","CI",0
"471","KILLISNOO","CI",0
"472","KLAWOCK","CI",0
"473","KNUDSON COVE","CI",0
"474","Kodiak","CI",0
"475","KODIAK","CI",0
"476","LARSEN BAY","CI",0
"477","LOUIS COVE","CI",0
"478","LOUISE COVE","CI",0
"479","LOWELL POINT","CI",0
"480","METLAKATLA","CI",0
"481","NAKALILOK BAY","CI",0
"482","NARROWS INN","CI",0
"483","NAUKATI","CI",0
"484","NINILCHIK","CI",76
"485","OLD HARBOR","CI",0
"486","ORR ISLAND","CI",0
"487","PARKS CANNERY","CI",0
"488","PATTERSON BAY","CI",0
"489","PAYNE ISLAND","CI",0
"490","PELICAN","CI",0
"491","PETERSBURG","CI",0
"492","PINTA ROCKS","CI",0
"493","POINT ASTLEY","CI",0
"494","POINT ASTLY","CI",0
"495","POINT BAKER","CI",0
"496","PORT ALEXANDER","CI",0
"497","PORT ASHTON","CI",0
"498","PORT LIONS","CI",2
"499","PORT MALMESBURY","CI",0
"500","PORT MALMSBURY","CI",0
"501","PORT MULMSBURY","CI",0
"502","PORT PROTECTION","CI",0
"503","PORT ST NICHOLAS","CI",0
"504","PORT WAKEFIELD","CI",0
"505","PORT WALTER","CI",0
"506","PYBUS BAY","CI",0
"507","PYBUS POINT LODGE","CI",0
"508","SALMON FALLS","CI",0
"509","SALMON FALLS RESORT","CI",0
"510","SAND POINT","CI",0
"511","SARKAR COVE","CI",0
"512","SAXMAN SEAS","CI",0
"513","SEAL BAY (SC)","CI",0
"514","SEALING COVE","CI",0
"515","SECURITY BAY","CI",0
"516","SELDOVIA","CI",66
"517","SEWARD","CI",2
"518","SILVER KING LODGE","CI",0
"519","SILVER SALMON CREEK","CI",3
"520","SITKA","CI",0
"521","SKAGWAY","CI",0
"522","SPORTSMAN COVE","CI",0
"523","SQUARE COVE","CI",0
"524","STEAMBOAT BAY","CI",0
"525","SUNNYSIDE","CI",0
"526","TENAKEE","CI",0
"527","THOMAS BASIN","CI",0
"528","THORNE BAY","CI",0
"529","TUTKA BAY","CI",2
"530","UGAK BAY","CI",0
"531","UGANIK BAY","CI",0
"532","UNKNOWN","CI",0
"533","VALDEZ","CI",0
"534","WADLEIGH ISLAND","CI",0
"535","WARM SPRINGS BAY","CI",0
"536","WATERFALL","CI",0
"537","WHALE PASS (POW - SE)","CI",0
"538","WHALE PASS (SC)","CI",0
"539","WHALERS COVE","CI",0
